form	lemma	POS	morph
ཐེ་པ་	ཐེ་པ་	NO_POS
ཆེ་པོ་	ཆེ་པོ་	VERB
མ་	མ་	PART
འི་བ་	འི་བ་	PART
བཅོ་	བཅོ་	NUM
ས་	གིས་	PART
རྩ་	རྩ་	NUM
འལ་		NON_WORD
བ་	བ་	ADP
ས་	ས་	ADP
ལྷམ་	ལྷམ་	NOUN
ཆོལྷ་		NON_WORD
		
ཙྭཇིཅིརྐརྟེསྙེཁུཛཱསྐེ་		NON_WORD
སྟོ་	སྟོ་	NO_POS
།		PUNCT
སྐེཞུཙཱརུཆོསྟོ་		NON_WORD
།		PUNCT
ཊྭཱཾསྐེ་		NON_WORD
		
་།་།་།།།།་་		PUNCT
ཚོ་	ཚོ་	DET
ཚོ་	ཚོ་	DET
སྤྱརྫིརྔཇི་		NON_WORD
		
བློཅ་		NON_WORD
		
།		PUNCT
སྡོརྡོཛྷསྙེཆོསྤྱཇི་		NON_WORD
ཏྭོ་		NON_WORD
		
ས་	ས་	ADP
		
ཆོརྩེཅིབྱུཙཱསྒྱུཅི་		NON_WORD
༔		PUNCT
		
ཅ་	ཅ་	OTHER
།		PUNCT
ཅིརིཆིརྣོ་		NON_WORD
ཙཱརུསྣསྙེརུནཅིསྡུཅི་		NON_WORD
རྡུ་	རྡུ་	NO_POS
།།		PUNCT
༷སྐེསོཿ་		NON_WORD
		
ཅི་	ཅི་	NO_POS
		
ཛྷཙཱཊྭཱརྡོཛྷརི་		NON_WORD
།།		PUNCT
		
རྣ་	རྣ་	NOUN
།་་		PUNCT
ཉིཊྭཱཾ་		NON_WORD
ཤཱལྷའིནྡི་		NON_WORD
ཝརྣོ་		NON_WORD
		
ཆོརྒྱ་		NON_WORD
		
ཁྱེལྟེ་		NON_WORD
།		PUNCT
ཧཱུཾསྤུཉྩཱཚྭཛེེ་		NON_WORD
སྟེགེ་		NON_WORD
		
ཙོ་	ཙོ་	NO_POS
།་		PUNCT
ཀྵེཏོནེ༵་		NON_WORD
།		PUNCT
ཧཱུཾསྐྱིཤེ་		NON_WORD
།		PUNCT
		
ཀྟོ་		NON_WORD
རིརི་		NON_WORD
༄		PUNCT
		
སྲེདྔྷ་		NON_WORD
ཛེཏྲེལྟེ་		NON_WORD
།		PUNCT
ཟེ་	ཟེ་	OTHER
		
༵ཝ་		NON_WORD
།		PUNCT
༷་		NON_WORD
༄		PUNCT
ཅིསྐྲེ་		NON_WORD
		
གྱི་	གི་	PART
སི་	སི་	OTHER
ཁྲོན་	ཁྲོན་	NO_POS
དཔེ་སྐྲུན་	དཔེ་སྐྲུན་	OTHER
ཚོགས་པ་	ཚོགས་པ་	VERB
།		PUNCT
ནེགྱུསི་		NON_WORD
ཁྲོན་	ཁྲོན་	NO_POS
མི་རིགས་	མི་རིགས་	NOUN
དཔེ་སྐྲུན་	དཔེ་སྐྲུན་	OTHER
ཁང་	ཁང་	NOUN
"།

༄༅།།"		PUNCT
ཐེག་པ་	ཐེག་པ་	NOUN
ཆེན་པོ་	ཆེན་པོ་	ADJ
རྒྱུད་བླ་མ་	རྒྱུད་བླ་མ་	PROPN
འི་	གི་	PART
བསྟན་བཅོས་	བསྟན་བཅོས་	NOUN
རྩ་འགྲེལ་	རྩ་འགྲེལ་	NOUN
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
།།		PUNCT
རྗེ་བཙུན་	རྗེ་བཙུན་	NOUN
བྱམས་པ་	བྱམས་པ་	PROPN
མགོན་པོ་	མགོན་པོ་	NOUN
ས་	གིས་	PART
རྩ་བ་	རྩ་བ་	NOUN
མཛད་	མཛད་	VERB
།		PUNCT
རོང་	རོང་	PROPN
སྟོན་	སྟོན་	VERB
ཤེས་བྱ་	ཤེས་བྱ་	VERB
ཀུན་གཟིགས་	ཀུན་གཟིགས་	OTHER
ཀྱིས་	གིས་	PART
འགྲེལ་བ་	འགྲེལ་བ་	NOUN
བརྩམས་	བརྩམས་	VERB
།		PUNCT
སི་	སི་	OTHER
ཁྲོན་	ཁྲོན་	NO_POS
དཔེ་སྐྲུན་	དཔེ་སྐྲུན་	OTHER
ཚོགས་པ་	ཚོགས་པ་	VERB
།		PUNCT
སི་	སི་	OTHER
ཁྲོན་	ཁྲོན་	NO_POS
མི་རིགས་	མི་རིགས་	NOUN
